arXiv_ID,Title,Authors,Published_Date,PDF_URL,One_Sentence_Summary,Snippet
2509.08143v1,Electronic Fluctuations and Ionic Dynamics in Molten Silver Iodide,"Harender S. Dhattarwal, Richard C. Remsing",2025-09-09T20:52:08+00:00,http://arxiv.org/pdf/2509.08143v1,"To understand the role of electronic fluctuations in molten salt dynamics, this paper uses density functional theory and a machine learning model to study molten silver iodide, revealing that directional polarization fluctuations of iodide ions enhance silver ion diffusion.","Electronic Fluctuations and Ionic Dynamics in Molten Silver Iodide  Molten salts are high-temperature ionic liquids whose unique combination of strong Coulombic interactions, large polarizabilities, and high ionic conductivities makes them central to energy storage, metallurgy, and nuclear technology. Understanding their delicate balance of Coulomb forces, short-range repulsion, and electronic polarization, particularly regarding the role that electronic fluctuations play in their structure and dynamics, is critical to predictively designing molten salts for applications of interest. We investigate the importance of electronic fluctuations in molten AgI using density functional theory, a universal machine learning model (Orb), and a classical, empirical pairwise model of interionic interactions. We find that directional polarization fluctuations of iodide ions enhance Ag+ diffusion, manifesting as enhanced force fluctuations and structure in the time-dependent friction experienced by the cations. The coupling between iodide polarization fluctuations and silver diffusion creates a dynamic asymmetry; Ag+ motion is tightly linked to the instantaneous polarization of neighboring I-, whereas I- dynamics are relatively unperturbed by electronic fluctuations. For all structural and dynamic quantities investigated, the Orb model is in excellent agreement with density functional theory-based simulations, highlighting the ability of this universal neural network potential to capture many-body polarization effects. In contrast, the empirical force field fails to reproduce key structural and dynamic quantities involving cations, ultimately because it neglects dynamic electronic fluctuations. Our findings connect liquid=state ionic dynamics with the ""electronic paddle-wheel"" mechanism of ionic diffusion in superionic solids and motivate further exploration of polarization fluctuation effects in complex electrolytes and ionic liquids.  Electronic Fluctuations and Ionic Dynamics in Molten Silver Iodide Harender S. Dhattarwal1 and Richard C. Remsing1,a) Department of Chemistry and Chemical Biology, Rutgers University, Piscataway, NJ, 08854, USA Molten salts are high-temperature ionic liquids whose unique combination of strong Coulombic interactions, large polarizabilities, and high ionic conductivities makes them central to energy storage, metallurgy, and nuclear technology. Understanding their delicate balance of Coulomb forces, short-range repulsion, and electronic polarization, particularly regarding the role that electronic fluctuations play in their structure and dynamics, is critical to predictively designing molten salts for applications of interest. We investigate the importance of electronic fluctuations in molten AgI using density functional theory, a universal machine learning model"
2508.05598v1,Unveiling the Lithium-Ion Transport Mechanism in Li2ZrCl6 Solid-State Electrolyte via Deep Learning-Accelerated Molecular Dynamics Simulations,"Hanzeng Guo, Volodymyr Koverga, Selva Chandrasekaran Selvaraj, Anh T. Ngo",2025-08-07T17:41:11+00:00,http://arxiv.org/pdf/2508.05598v1,"To understand the differing ionic conductivities of Î±- and Î²-LiZrâ‚‚(POâ‚„)â‚ƒ (LZC) structures, this paper uses a combined analysis of mean-squared displacement, ionic conductivity, and Haven's ratio to demonstrate that Î±-LZC exhibits significantly stronger correlated lithium-ion motion than Î²-LZC,  contributing substantially to its higher ionic conductivity.","time window at which diffusion regime occurs (see Figure S4, S6 for additional details); (b) Arrhenius plots of ionic conductivity and corresponding activation energy, Ea. The ionic conductivity is plotted on natural logarithmic scale as a function of inverse temperature. The grey circles stand for visual guidance of ionic conductivity values at different temperatures and red circles indicate the extrapolated value of ionic conductivity at 300 K. The estimated determination coefficient, R2 = 0.99 and 0.96, indicates that 99% and 96% of the variance in the temperature dependent ionic conductivity is well captured by the deep learning model.  18 Building on the mean-squared displacement and ionic conductivity analysis, a comparative analysis of displacement magnitudes across the three structures can also highlight a significant difference in lithium migration. Indeed, the disordered Î±-LZC consistently shows the highest displacement values compared to Î²LZC, suggesting the origin of the difference in ionic conductivity. Further comparison between collective (Equation (7)), comprising self- and distinct-correlation terms, and individual ion displacements (Equation (8)) may provide additional and deeper insights into the presence and magnitude of ionic correlation effects. The larger discrepancies between collective and individual displacement observed in Î±-LZCs may be a sign of stronger correlation effects contributing substantially to ionic conduction, whereas the similarity between the displacements for Î²-LZC may indicate that ion transport is predominantly governed by uncorrelated rather than by correlated motion. To quantify these observations, we further estimated the Havenâ€™s ratio (Equation (12)), which measures the degree of correlated ionic motion. The computed Havenâ€™s ratio values for the LZC phases were found to be consistently below unity, particularly for Î±-LZC structures, confirming the presence of significant interion ic correlation effects. This result indicates the necessity of considering correlated contributions, as relying solely on individual ionic motion would underestimate the ionic conductivity and activation energies. In contrast, for Î²-LZC the degree of the correlated motion approached unity, indicating that correlation effects are minimal, and individual ionic dynamics dominates in overall transport behavior. This interpretation aligns with the m ore pronounced linear curves observed for Î±-LZCs correlated displacements (Figure S6), whereas the noisier, less -defined profile for Î²-LZC curves reflects weaker correlation effects. The correlated ionic motion in Î±-LZCs can be attributed to mutual lithium-ion"
2508.07826v1,Impact of Ce Substitution on Structural and Electrochemical Properties of Ga Doped Garnet Li7La3Zr2O12 Solid Electrolyte,"Muktai Aote, A. V. Deshpande, Vaibhav Sirsulwar, Priya Padaganur, Neha, Abhishek Pradhan",2025-08-11T10:19:03+00:00,http://arxiv.org/pdf/2508.07826v1,"To determine the thermal stability and ionic conductivity of Li6.4Ga0.2La3Zr2-xCexO12, this paper uses Arrhenius plots to analyze temperature-dependent conductivity from 25ÂºC to 150ÂºC, revealing a minimum activation energy of 0.29 eV for the 0.10 Ce sample and confirming thermal stability across the series.","25ÂºC to 150ÂºC. that, the ionic conductivity values have been increased with the increase in follow the Arrhenius equation. Also, this line suggest that, there is no structural or phase change treatment. Thus it can be confirmed that, the synthesized series is thermally stable. The activation energy is calculated using t ğœ is the conductivity, ğœà¬´ is the pre Boltzmann constant, and ğ‘‡ is the temperature in Kelvin. energy have the inverse relation which can be observed from Fi activation energy of 0.29 eV is obtained fo conductivity of 4 x 10-4 S/cm. The values of ionic conductivity an are mentioned in table 3 for all the samples. 14 (b) Fig.7: a) Nyquist plots at room temperature for the series Li6.4Ga0.2La with varying content of Ce(x) from 0 to 0.30 a.p.f.u., b) Fitted spectra with equivalent circuit for 0.10 Ce sample. The temperature dependent nature of ionic conductivity can be studied from the Arrhenius equation. The Arrhenius plots for the samples of series Li6.4Ga0.2La3Zr2-xCexO12 (a) within the temperature range of 25ÂºC to 150ÂºC. From the graph it can be clearly seen that, the ionic conductivity values have been increased with the increase in temperature, and thus the Arrhenius equation. Also, this linear equation obtained for all the synthesized samples that, there is no structural or phase change that occurred during the high t it can be confirmed that, the synthesized series is thermally stable. The activation energy is calculated using the Arrhenius equation as ğœ(ğ‘‡)= ğœà¬´ğ‘’ğ‘¥ğ‘(âˆ’ is the pre-exponential factor, ğ¸à¯” is the activation energy, is the temperature in Kelvin. The ionic conductivity and activatio the inverse relation which can be observed from Fig. 8(a). Here, the minimum activation energy of 0.29 eV is obtained for 0.10 Ce sample which possesses . The values of ionic conductivity and respective activation energy are mentioned in table 3 for all the samples. Moreover, the variation of ionic conductivity (b) La3Zr2-xCexO12 with"
2508.12172v2,Nanoconfined Grain Boundaries Increase Conductivity of Polycrystalline Molecular Crystals,"Shujit Chandra Paul, William A. Goddard III, Michael J. Zdilla, Prabhat Prakash, Stephanie L. Wunder",2025-08-16T22:22:02+00:00,http://arxiv.org/pdf/2508.12172v2,"To address the limitations of liquid electrolytes in lithium-based batteries, this paper investigates the Li+ ion conduction mechanisms in different solid-state electrolytes (inorganic ceramics, polymers, and composites), demonstrating that enhanced conductivity can be achieved through strategies such as doping and minimizing Li+Â·Â·Â·Li+ distances.","replacements for liquids electrolytes in Li metal (LMBs), lithium-ion (LIBs) and next generation batteries. The solid electrolytes investigated have been inorganic lithium-ion conductive ceramics (LICCs), polymer or polymer gel electrolytes, or composite electrolytes with inorganic and organic components. LICCs can have conductivities greater than liquid electr olytes, but are brittle, while polymer elect rolytes are flexible and malleable but have poor ionic conductivity, the latter of which can be enhanced by addition of liquids to form gels. Composite electrolytes were proposed to combine advantages of the LICCs and polymers 1. However, there appears to be a barrier to Li + ion migration between the inorganic and organic phase, with the resistance at the interface limiting the total ionic conductivity. The mechanism of Li + ion conduction is different in liquid, polymer and lithium -ion conducting ceramic (LICC) electrolytes. Li+ ion diffusion in liquid electrolytes occurs via vehicular motion of solvated ions in dilute solutions and by structural transport via solvent or anion exchange in concentration solutions (>3M salt).2 In polymer electrolytes the Li + ions are solvated by the polymer chains and their motion is coupled to the slow chain dynamics 3. In LICCs, Li + ion transport occurs through point defects in channels of a mobile sublattice that is surrounded by an immobile anionic lattice, via vacancy, interstitial or interstitialsubstitutional exchange mechanisms.4 Conductivity can be enhanced in LICCS by the creation of vacancies or interstitial ions by doping, or by homovalent/isovalent substitution, which affects defect creation by changing the potential energy of the conducting ions.5 In the case of soft-solid crystals, Li+ ions also migrate by a hopping mechanism in the channels formed by the organic matrix, with the anions migrating in their own channels.6 We have shown that decreased Li+Â·Â·Â·Li+ distance and unobstructed anion channels increase ionic conductivity.7 As in the case of LICCs, isovalent doping (replacement of AsF6- with N(SO2CF3)2-) 8 and aliovalent doping (AsF6- with SiF6-2)9 in (PEO)6LiFX6 channel structures increases ionic conductivity by 1.5-2 orders of magnitude, as does doping (by ~"
2509.05387v1,Diffusioosmosis of electrolyte solutions in uniformly charged channels,"Evgeny S. Asmolov, Elena F. Silkina, Olga I. Vinogradova",2025-09-05T06:38:06+00:00,http://arxiv.org/pdf/2509.05387v1,"To understand diffusioosmotic flow in uniformly charged channels, this paper derives an analytical equation for fluid flow rate, applied to electrolyte solutions, revealing that the global flow rate is determined solely by surface charge and concentration difference, and demonstrating the existence of two surface charge values for a given flow rate.","Diffusioosmosis of electrolyte solutions in uniformly charged channels  When the concentration of electrolyte solution varies along the channel the forces arise that drag the fluid toward the higher or lower concentration region inducing a flow termed diffusio-osmotic. This article investigates a flow that emerges in channels with constant density of surface charge {\sigma} and thin compared to their thickness electrostatic diffuse layers. An equation for the fluid flow rate Q is derived and used to describe analytically the flux of ions, and local potentials and concentrations. This equation, which allows to treat the diffusio-osmotic problems without tedious and time consuming computations, clarifies that the global flow rate is controlled only by the surface charge and concentration drop between the channel ends, and indicates that there always exist two different values of {\sigma} that correspond to a particular Q. Our theory provides a simple explanation of the directions of the fluid flow rate and ionic flux depending on the surface charge and diffusivity of ions, predicts a non-linear concentration distribution along the channel caused by convection, and relates it to the local potential changes by a compact formula. We also present and interpret the variations of the diffusio-osmotic velocity profiles and the apparent slip velocity along the channel and show that the latter is highly non-uniform and could even becomes alternating. The relevance of our results for diffusio-osmotic experiments and for some electrochemistry and membrane science issues is discussed briefly.  Diffusioosmosis of electrolyte solutions in uniformly charged channels Evgeny S. Asmolov, 1 Elena F. Silkina, 1 and Olga I. Vinogradova 1,âˆ— 1Frumkin Institute of Physical Chemistry and Electrochemistry, Russian Academy of Sciences, 31-4 Leninsky Prospect, 119071 Moscow, Russia When the concentration of electrolyte solution varies along the channel the forces arise that drag the fluid toward the higher or lower concentration region inducing a flow termed diffusioosmotic. This article investigates a flow that emerges in channels with constant density of surface chargeÏƒand thin compared to their thickness electrostatic diffuse layers. An equation for the fluid flow rateQis derived and used to describe analytically the flux of ions, and local potentials and concentrations. This equation, which allows to treat the diffusio-osmotic problems without tedious and time consuming computations, clarifies that the global flow rate is controlled only by the surface"
2507.04652v1,Anomalous Ionic Conductivity along the Coherent $Î£$3 Grain Boundary in ThO2,"Miaomiao Jin, Jilang Miao, Marat Khafizov, Beihan Chen, Yongfeng Zhang, David H. Hurley",2025-07-07T04:12:10+00:00,http://arxiv.org/pdf/2507.04652v1,"To understand the factors controlling oxygen ionic conductivity in oxide ceramics, this paper uses atomistic simulations with a machine learning interatomic potential to study the Î£3(111) grain boundary in thorium dioxide, revealing that its unexpectedly high conductivity arises from a collective diffusion mechanism rather than simply increased free volume.","Anomalous Ionic Conductivity along the Coherent $Î£$3 Grain Boundary in ThO2  Understanding oxygen diffusion along grain boundaries (GBs) is critical for controlling ionic conductivity in oxide ceramics. GBs are typically thought to enhance ionic transport due to structural disorder and increased free volume. In this study, we report an unexpected anomaly: the $\Sigma 3(111)$ GB in thorium dioxide (ThO$_2$), despite its compact and coherent structure, exhibits significantly higher oxygen ionic conductivity compared to the more open GB ($\Sigma 19$ as an example). Using atomistic simulations based on a machine learning interatomic potential, we revealed that the high conductivity in the $\Sigma 3$ GB arises from a collective diffusion mechanism involving highly correlated atomic motion reminiscent of a superionic state. In contrast, the $\Sigma 19$ GB follows conventional pipe diffusion, consistent with its more open structure. This comparison highlights that enhanced GB conductivity is not simply correlated with free volume, but can occur from specific structural motifs that enable collective transport. These findings provide new guidance for designing GB-engineered oxides with targeted ionic transport properties for energy applications.  arXiv:2507.04652v1 [cond-mat.mtrl-sci] 7 Jul 2025 Anomalous Ionic Conductivity along the Coherent Î£3 Grain Boundary in ThO 2 Miaomiao Jina,âˆ—, Jilang Miaoa, Marat Khafizovb, Beihan Chena, Yongfeng Zhangc, David H. Hurleyd aDepartment of Nuclear Engineering The Pennsylvania State University University Park 16802 PA USA bDepartment of Mechanical and Aerospace Engineering The Ohio State University 201 W 19th Ave Columbus OH 43210 USA cDepartment of Engineering Physics University of Wisconsin-Madison 1500 Engineering Dr Madison WI 53706 USA dIdaho National Laboratory 2525 Fremont Ave Idaho Falls ID 83402 USA Abstract Understanding oxygen diffusion along grain boundaries (GBs) is critical for controlling ionic conductivity in oxide ceramics. GBs are typically thought to enhance ionic transport due to structural disorder and increased free volume. In this study, we report an unexpected anomaly: the Î£3(111) GB in thorium dioxide (ThO 2), despite its compact and coherent structure, exhibits significantly higher oxygen ionic conductivity compared to the more open GB (Î£19 as an example"
2508.19023v1,Gated MoS2/SiN Nanochannel for Tunable Ion Transport and Protein Translocation,"Shukun Weng, Ali Douaki, Makusu Tsutsui, German Lanzavecchia, Anastasiia Sapunova, Lorenzo Iannetti, Alberto Giacomello, Roman Krahne, Denis Garoli",2025-08-26T13:41:57+00:00,http://arxiv.org/pdf/2508.19023v1,"To address the challenge of achieving precise control over ionic transport in nanofluidic channels, this paper introduces a gated MoS2/SiN hybrid nanochannel architecture fabricated via FIB milling and dry transfer, demonstrating tunable ion transport and its potential for osmotic energy harvesting and single-molecule sensing.","Gated MoS2/SiN Nanochannel for Tunable Ion Transport and Protein Translocation  Ionic transport in nanofluidic channels holds great promise for applications such as single-molecule analysis, molecular manipulation, and energy harvesting. However, achieving precise control over ion transport remains a major challenge. In this work, we introduce a MoS2 SiN hybrid nanochannel architecture that enables electrical tuning of ionic transport via external gating, and we examine its potential for osmotic power generation and single molecule detection. To fabricate the channels, we employed a combined focused ion beam (FIB) milling and dry transfer method, producing sub 10 nm thick structures while preserving the structural integrity and electronic properties of MoS2, essential for reliable surface charge modulation. We first investigated how the gate voltage influences ionic conductance, finding evidence of gate dependent modulation of ion selectivity under different bias polarities. Next, by applying a salt concentration gradient across the nanochannels, we demonstrated the feasibility of this platform for osmotic energy harvesting. Finally, we tested the system for single molecule sensing, showing that linearized bovine serum albumin (BSA) produced translocation signals with notably long dwell times. Together, these results highlight gated MoS2 SiN nanochannels as a promising platform for tunable nanofluidics, with potential applications in controlled molecular transport and energy harvesting from osmotic gradients.  1 Gated MoS2/SiN Nanochannel for Tunable Ion Transport and Protein Translocation Shukun Weng 1,2*; Ali Douaki 1,3; Makusu Tsutsui 4, German Lanzavecchia 1,3, Anastasiia Sapunova 1,2, Lorenzo Iannetti5, Alberto Giacomello5, Roman Krahne 1, and Denis Garoli 1,3* 1 Optoelectronics Research Line, Instituto Italiano di Tecnologia, 16163 Genova, Italy 2 Department of Materials Science, University of Milano-Bicocca, Via R. Cozzi 55, I-20125 Milano, Italy 3 Dipartimento di Scienze e Metodi dellâ€™Ingegneria, UniversitÃ degli Studi di Modena e Reggio Emilia, Via Amendola, 2, 43122 Reggio Emilia, Italy 4 The Institute of Scientific and"
2506.11199v2,Mechanisms and Stability of Li Dynamics in Amorphous Li-Ti-P-S-Based Mixed Ionic-Electronic Conductors: A Machine Learning Molecular Dynamics Study,"Selva Chandrasekaran Selvaraj, Daiwei Wang, Donghai Wang, Anh T. Ngo",2025-06-12T18:00:25+00:00,http://arxiv.org/pdf/2506.11199v2,"To determine the optimal titanium concentration for enhanced lithium-ion conductivity in Li-containing LPS, this paper applies the Nernst-Einstein equation and Arrhenius relationship to analyze computational data, revealing that a 10-20% titanium concentration yields the lowest activation energy (0.3-0.32 eV) for lithium-ion transport.","quantity equal to 3 for three-dimensional transport. The ionic conductivity, denoted as Ïƒ, can be determined from the diffusion coefficient D (see Equation 2) using the Nernstâ€“Einstein equation [34]: Ïƒ = ne2Z2 kBT D (3) where n represents the number density of Li ions (mâˆ’3), e = 1.602Ã—10âˆ’19 C is the elementary charge, Z = +1 is the valence of Li, kB = 1 .381 Ã— 10âˆ’23 J Kâˆ’1 is the Boltzmann constant, and T is the absolute temperature (K). The calculated ionic conductivity values as a function of Ti concentration and temperature are shown in Fig. 4a and align well with our recent experimental data [13], as demonstrated in Fig. 4b. To estimate the activation energy Ea, the temperature dependence of Ïƒ is fitted to the Arrhenius relationship: Ïƒ = Ïƒ0eâˆ’Ea/(kBT) (4) where Ïƒ0 is the pre-exponential factor (determined from the y-intercept of ln( ÏƒT ) versus 1 /T plot) and Ea = âˆ’mkB is derived from the slope m of ln(ÏƒT ) versus 1/T, with kB = 8.617 Ã— 10âˆ’5 eV Kâˆ’1 when expressing Ea in eV. 8  The calculated activation energies, shown in Fig. 4c, closely match experimental values. Interestingly, 10% Ti in LPS produces an activation energy of 0.3 eV, which is the lowest among all compositions. The 20% Ti composition shows an activation energy of 0.32 eV, also close to that of the 10% Ti case. However, compositions with 0% Ti and 30% Ti exhibit higher activation barriers compared to the 10% and 20% Ti cases. This indicates that adding more than 20% Ti or excluding Ti entirely is not favorable for achieving low activation energy and, thus, efficient Li-ion conduction. Fig. 5: Ball and stick model for moving Li-ion(Red, Li*) with respect to time step of LPS:Ti 00%(a), LPS:Ti10%(b), LPS:Ti 20%(c), and LPS:Ti 30%(d). Here, the cubic boundaries of the ball and stick models are ps"
2507.03358v2,Incipient ionic conductors: Ion-constrained lattices achieving superionic-like thermal conductivity by extreme anharmonicity,"Yongheng Li, Chunqiu Lu, Bin Wei, Cong Lu, Xingang Jiang, Daisuke Ishikawa, Taishun Manjo, Caofeng Pan, Alfred Q. R. Baron, Jiawang Hong",2025-07-04T07:45:59+00:00,http://arxiv.org/pdf/2507.03358v2,"To address the challenge of balancing low thermal conductivity and high stability in superionic conductors, this paper uses synchrotron X-ray diffraction, inelastic X-ray scattering, and machine-learning simulations to study CsCuâ‚‚Iâ‚ƒ, demonstrating that confined Cu ion migration, enabled by extreme phonon anharmonicity, achieves glass-like thermal conductivity (~0.3 W mâ»Â¹ Kâ»Â¹ at 300 K) while significantly suppressing long-range ion migration.","Incipient ionic conductors: Ion-constrained lattices achieving superionic-like thermal conductivity by extreme anharmonicity  Phonon liquid-like thermal conduction in the solid state enables superionic conductors to serve as efficient thermoelectric device candidates. While liquid-like motion of ions effectively suppresses thermal conductivity (\kappa), their high mobility concurrently triggers material degradation due to undesirable ion migration and consequent metal deposition, making it still a challenge to balancing low \kappa and high stability. Here, we report a superionic-like thermal transport alongside restricted long-range ion migration in CsCu_2I_3 with incipient ionic conduction, using synchrotron X-ray diffraction, inelastic X-ray scattering, and machine-learning potential-based simulations. We reveal that the Cu ions exhibit confined migration between CuI_4 tetrahedra at high temperatures, displaying extreme anharmonicity of dominated phonons beyond conventional rattling and comparable to that in superionic conductorsl. Consequently, a glass-like \kappa (~0.3 W m^{-1} K^{-1} at 300 K) following the relationship of \kappa ~ T^{0.17}, was achieved along the x-direction, where Cu ion migration is three oders of magnitude lower than in superionic conductors. These results highlight the advantage of incipient ionic conductors in simultaneously maintaining both low \kappa and high stability, elucidate the thermal transport mechanism via ion migration constraints, and pave an effective pathway toward ultralow thermal conductivity in ionic conductors.  1 Incipient ionic conductors: Ion-constrained lattices achieving superionic-like thermal conductivity by extreme anharmonicity Authors Yongheng Li1, Chunqiu Lu 2, Bin Wei 3#, Cong Lu 4, Xingang Jiang 1, Daisuke I shikawa5, Taishun Manjo5, Caofeng Pan6#, Alfred Q. R. Baron5, Jiawang Hong1# Affiliations 1. School of Aerospace Engineering, Beijing Institute of Technology, Beijing, 100081, China 2. School of Materials Science and Engineering, Nanyang Technological University, 639798, Singapore 3. School of Materials Science and Engineering, Henan Polytechnic University, Jiaozuo 454000, China 4. Multi-disciplinary Research Division, Institute of High Energy Physics, Chinese"
2507.06197v2,A kinetic model to simulate charge flow through an electrochemical half cell,"Diego Veloza-Diaz, Friederike Schmid, Robinson Cortes-Huerto, Pietro Ballone, Nancy C. Forero-Martinez",2025-07-08T17:22:32+00:00,http://arxiv.org/pdf/2507.06197v2,"To simulate charge flow in an electrochemical half-cell, this paper uses a Monte Carlo-based kinetic model of electron transfer at an electrode/electrolyte interface in a primitive electrolyte solution model, demonstrating that the simulated system sustains a steady current whose magnitude depends on electrode charge, electrolyte concentration, solvent viscosity, and electron transfer rate.","A kinetic model to simulate charge flow through an electrochemical half cell  A kinetic model of the electron transfer at the electrode / electrolyte solution interface is developed, implemented in a Monte Carlo framework, and applied to simulate this process in idealised systems consisting of the primitive model of electrolyte solutions limited by an impenetrable conducting surface. In the present implementation, a charged, spherical interface surrounding an equally spherical sample of electrolyte solution is introduced to model a single-electrode system, providing the computational analog to the conceptual half-cell picture that is widely used in electrochemistry. The electron transfer itself is described as a simple surface hopping process underlying a first order reaction corresponding to one of the coupled M/M$^+$ and X$^-$/X half reactions. Then, the electron transfer at the interface is combined with the self-diffusion of ions in the electrolyte solutions whose role is to supply reagents and disperse products, allowing the system to settle in a stationary non-equilibrium state. Simulations for the primitive model of electrolyte in contact with a charged impenetrable surface show that, after a brief transient, the samples sustain a steady current through the electrolyte solution. The results quantify the dependence of the current on: the overall charge of the electrode, the electrolyte concentration, the solvent viscosity and the kinetic parameter $k_e$ that represents the rate of the electron transfer for each ion in contact with the electrode. Since the simulated interface is very idealised, strategies to overcome the limitations of the present model are outlined and briefly discussed.  A kinetic model to simulate charge ï¬‚ow through an electroche mical half cell Diego Veloza-Diaz, 1 Friederike Schmid, 1 Robinson Cortes-Huertoâˆ—âˆ—,2 Pietro Ballone, 2 and Nancy C. Forero-Martinez âˆ—1 1Institut fÂ¨ ur Physik, Johannes Gutenberg-UniversitÂ¨ at Ma inz, Staudingerweg 9, 55128 Mainz, Germany 2Max Planck Institute for Polymer Research, Ackermannweg 10, 55128, Mainz, Germany Abstract A kinetic model of the electron transfer at the electrode / el ectrolyte solution interface is developed, implemented in a Monte Carlo framework, and applied to simul ate this process in idealised systems consisting of the primitive model of electrolyte solutions limited by an impenetrable conducting surface. In the"
2509.07584v1,Dispersed multi-walled carbon nanotubes in polyvinyl butyral matrix for transparent ionic conductive films,"Mykola O. Semenenko, Sergii O. Kravchenko, Nadiia V. Siharova, Olha V. Pylypova, Mariya I. Terets, Oleksandr S. Pylypchuk, Mariia V. Voitovych, Tetiana Yu. Obukhova, Taisiia O. Kuzmenko, Andrey Sarikov",2025-09-09T10:49:35+00:00,http://arxiv.org/pdf/2509.07584v1,"To investigate the impact of carbon nanotubes (CNTs) on the conductivity of polyvinyl butyral (PVB) films, this paper uses impedance spectroscopy to analyze PVB films with varying CNT and KI3 concentrations, revealing that CNT addition significantly enhances low-frequency ionic conductivity by creating efficient ion-conducting channels.","102 103 104 105 106 10-9 10-8 10-7 10-6 Sigma, S Circular, rad/s 1 5 3 4 2 Ğ Ğ¸Ñ. 9. Jonher projections for dependences of the film absolute conductivity on the circular frequency for the PVB films dissolved in cyclohexanone and deposited onto substrates in different concentrations: (1) â€“ initial; (2) â€“ 1/2; (3) â€“ 1/10; (4) â€“ with addition of KI3 ions; (5) â€“ with addition of CNT.  Addition of the CNTs to the PVB film formed with KI3 ions causes a significant decrease in the impedance and an increase in the conductivity, which is shown in the Nyquist diagram by the smallest semicircle (see Fig. 8) . At the same time, the frequency dependence of the conductivity shows a sawtooth behavior in the high -frequency region, which points to the intermittent nature of charge transfer due to the formation of a clustered CNT conductive network. The DC component of the conductivity increases and remains constant up to the frequencies of ~104 rad/s. This makes a contrast to the samples without the CNTs, for which the DC component of the conductivity disappears at the frequencies of about 10 3 rad/s, indicating a more efficient ionic conductivity. This is explained b y the fact that ions have more time to relax and pass through the interfacial regions . The CNTs create topological paths facilitating ion movement (through defects, intertube gaps, surface interaction with the matrix, etc.) The high value of the phase (>45 Â°) in the body of the Bode phase diagram (we do not present it here since the frequency dependences of the phase are monotonous) confirms the prevalence of the capacitive response over the ionic hopping mechanism at high frequencies for all the samples. At this, the best ionic conductivity at low frequencies is characteristic of the disperse systems with CNTs. Here, the delayed DC component ( horizontal straight line, see Fig. 9) points to the existence of effective ion-conducting channels. Therefore, we may draw the following conclusions based on the analysis of the conductivity, impedance, and phase plots. In the Nyquist diagram (see Fig. 8), only the initial sample (init) exhibits a linear segment"
2508.07733v1,Revisiting the access conductance of a charged nanopore membrane,"Holly C. M. Baldock, David M. Huang",2025-08-11T08:10:38+00:00,http://arxiv.org/pdf/2508.07733v1,"To determine the influence of ion-surface interactions on surface conductance in ultrathin membranes, this paper derives a modified Debye-HÃ¼ckel model for a system of electrolyte solution and charged planar surface, demonstrating that  (2/3)^(1/2) a^(1/4) (ÎºD)^(3/4) /lGC  describes this influence for thin electrical double layers and all electric potential magnitudes.","an electrolyte solution and a charged planar surface, respectively , the pore radius a governs the pore geometry . F or a charged planar surface, at which the potential is proportional to Â¼D/lGC in the Debyeâ€“HÃ¼ckel regime, Â¼D/lGC is a dimensionless parameter that describes the interactions of the ions with the surface. As Â»s/Â»âˆ s â‰ˆ 2(a/Â¼D) 1 2 /3 for Â¼D j a and Ze|Ãˆ0| j kBT â€” where Â»s and Â»âˆ s are both proportional to 1/(lGC)2 â€” we infer that, in this regime, [2(a/Â¼D) 1 2 (Â¼D/lGC)2/3] 1 2 = (2 /3) 1 2 a 1 4 (Â¼D) 3 4 /lGC describes the inï¬‚uence of ionâ€“surface interactions on the surface conductance of an ultrathin membrane. Thus, for the case of a thin EDL in an ultrathin membrane, we deduce that (2/3) 1 2 a 1 4 (Â¼D) 3 4 /lGC plays an analogous role to Â¼D/lGC in the theory of the surface conductivity near a planar wall outside the Debyeâ€“HÃ¼ckel regime. Thus, we substitute (2/3) 1 2 (a/Â¼D) 1 4 /lGC for all instances of 1/lGC in Eq. (14) to yield Â»s â‰ˆ ÏµÏµ0(D+ + Dâˆ’ ) lGC ï£® ï£°âˆ’lGC Â¼D + âˆš ( lGC Â¼D ) 2 + 2 3 ( a Â¼D ) 1 2 ï£¹ ï£» (16) for a thin EDL and all magnitudes of the electric potential. Equation (16) is the main result of this work; further details of this derivation and a more in-depth comparison with the case of electric-ï¬eld-driven electrolyte transport in a planar channel can be found in Sec. SIV of the supplementary material. W e also give an expression for the surface charge density with respect to the electric-ï¬eld-driven electric current derived from this expression in Eq"
